,,,actor_behavior,actor_behavior,duration_hours
registration date publication,phase decision sent,all,11,1.0,0.0
registration date publication,phase decision sent,continuation,11,1.0,0.0
create publication document,register objection and appeal periods,all,11,1.0,0.0016919191919191922
create publication document,register objection and appeal periods,continuation,11,1.0,0.0016919191919191922
phase decision ready,treat subcases completeness,all,11,1.0,0.0
phase decision ready,treat subcases completeness,continuation,9,0.8181818181818182,0.0
create subcases completeness,submit decision,all,11,1.0,0.0
create subcases completeness,submit decision,continuation,10,0.9090909090909091,0.0
send confirmation receipt,completed subcases content,all,11,1.0,0.0
send confirmation receipt,completed subcases content,continuation,10,0.9090909090909091,0.0
completed subcases content,enter senddate decision,all,11,1.0,1.1943181818181818
completed subcases content,enter senddate decision,continuation,7,0.6363636363636364,0.0
create publication document,send procedure confirmation,all,10,1.0,0.0
create publication document,send procedure confirmation,continuation,10,1.0,0.0
completed subcases content,decision date prior to decision,all,10,1.0,168.00002777777777
completed subcases content,decision date prior to decision,continuation,3,0.3,32.000092592592594
set decision phase decision permitting decided,create subcases completeness,all,10,1.0,11.952472222222223
set decision phase decision permitting decided,create subcases completeness,continuation,3,0.3,12.640277777777778
read publication date field,creating environmental permit decision,all,10,1.0,0.0
read publication date field,creating environmental permit decision,continuation,10,1.0,0.0
create publication document,completed subcases content,all,10,1.0,0.009027777777777777
create publication document,completed subcases content,continuation,9,0.9,0.010030864197530864
objection to permanent suspension received,receive additional information,all,10,1.0,0.0
objection to permanent suspension received,receive additional information,continuation,10,1.0,0.0
register deadline,phase decision sent,all,10,1.0,0.0
register deadline,phase decision sent,continuation,4,0.4,0.0
set decision status,read publication date field,all,10,1.0,0.0
set decision status,read publication date field,continuation,10,1.0,0.0
transcript decision environmental permit to stakeholders,register deadline,all,10,1.0,446.4065833333334
transcript decision environmental permit to stakeholders,register deadline,continuation,2,0.2,0.0
enter senddate acknowledgement,article 34  WABO applies,all,10,1.0,699.9366666666667
create subcases completeness,assessment of content completed,all,10,1.0,0.0
create subcases completeness,assessment of content completed,continuation,10,1.0,0.0
resume completeness subcases,set decision status,all,10,1.0,0.0
resume completeness subcases,set decision status,continuation,10,1.0,0.0
phase application receptive,phase application received,all,10,1.0,0.0
phase application receptive,phase application received,continuation,7,0.7,0.0
register deadline,objection to permanent suspension received,all,10,1.0,3863.931138888889
register deadline,objection to permanent suspension received,continuation,1,0.1,34.678888888888885
inform BAG administrator,create subcases completeness,all,10,1.0,114.99947222222222
inform BAG administrator,create subcases completeness,continuation,7,0.7,0.0
register date environmental permit decision,registration date publication,all,10,1.0,85.19447222222223
start WABOprocedure,investigate BAG objects,all,10,1.0,0.0
start WABOprocedure,investigate BAG objects,continuation,10,1.0,0.0
investigate BAG objects,send confirmation receipt,all,10,1.0,0.0
investigate BAG objects,send confirmation receipt,continuation,10,1.0,0.0
enter date advice on treatment of environmental permit,date draft decision for inspection,all,10,1.0,26.4
enter date advice on treatment of environmental permit,date draft decision for inspection,continuation,8,0.8,0.0
set decision status,enter senddate draft decision,all,10,1.0,18.691138888888887
set decision status,enter senddate draft decision,continuation,8,0.8,1.1437152777777777
enter publication date draft decision,read publication date field,all,10,1.0,0.0
enter publication date draft decision,read publication date field,continuation,10,1.0,0.0
message request advice,completed subcases content,all,10,1.0,0.00044444444444444447
message request advice,completed subcases content,continuation,10,1.0,0.00044444444444444447
message change status,transcript decision environmental permit to stakeholders,all,10,1.0,0.03938888888888889
message change status,transcript decision environmental permit to stakeholders,continuation,10,1.0,0.03938888888888889
treat subcases completeness,enter senddate decision environmental permit,all,10,1.0,66.01602777777778
treat subcases completeness,enter senddate decision environmental permit,continuation,5,0.5,4.8
publication date draft decision,publish official draft decision,all,10,1.0,104.13436111111112
publication date draft decision,publish official draft decision,continuation,9,0.9,0.0025308641975308644
send procedure confirmation,enter senddate acknowledgement,all,10,1.0,37.03769444444445
send procedure confirmation,enter senddate acknowledgement,continuation,3,0.3,8.028703703703703
open draft decision for inspection,publication date draft decision,all,10,1.0,53.73736111111111
open draft decision for inspection,publication date draft decision,continuation,7,0.7,0.0041269841269841265
enter senddate decision,assessment of content completed,all,10,1.0,0.0
enter senddate decision,assessment of content completed,continuation,7,0.7,0.0
enter senddate decision,read publication date field,all,10,1.0,0.0
enter senddate decision,read publication date field,continuation,10,1.0,0.0
phase procedure prematurely terminated,create message terminate request,all,10,1.0,0.0015
phase procedure prematurely terminated,create message terminate request,continuation,10,1.0,0.0015
creating cover letter decision,treat subcases content,all,10,1.0,0.0
creating cover letter decision,treat subcases content,continuation,10,1.0,0.0
procedure change,retrieve missing data,all,10,1.0,16.801805555555553
procedure change,retrieve missing data,continuation,8,0.8,0.0022569444444444442
coordination of application,phase advice known,all,10,1.0,0.0
coordination of application,phase advice known,continuation,10,1.0,0.0
start decision phase permanently suspended decided,enter date decision permanent suspension,all,10,1.0,5.091805555555555
start decision phase permanently suspended decided,enter date decision permanent suspension,continuation,6,0.6,2.5080555555555555
phase draft decision ready,enter date draft decisionenvironmental permit,all,10,1.0,6.909527777777778
phase draft decision ready,enter date draft decisionenvironmental permit,continuation,8,0.8,5.983819444444444
register deadline,decision permanent suspension irrevocable,all,10,1.0,1.0099166666666668
register deadline,decision permanent suspension irrevocable,continuation,9,0.9,0.0
create publication document,submit decision,all,10,1.0,19.486916666666666
create publication document,submit decision,continuation,7,0.7,0.027420634920634925
enter senddate retrieve missing data,create publication document,all,10,1.0,431.10297222222226
enter senddate retrieve missing data,create publication document,continuation,3,0.3,12.684722222222222
creating cover letter no permit required,objection decision no permit required received,all,10,1.0,0.0
creating cover letter no permit required,objection decision no permit required received,continuation,10,1.0,0.0
start decision phase decision permitting sent,phase application receptive,all,10,1.0,0.0
start decision phase decision permitting sent,phase application receptive,continuation,4,0.4,0.0
read publication date field,set decision phase decision permitting decided,all,10,1.0,0.0
read publication date field,set decision phase decision permitting decided,continuation,9,0.9,0.0
grounds for refusal,create subcases completeness,all,10,1.0,0.0
grounds for refusal,create subcases completeness,continuation,10,1.0,0.0
by law,create subcases completeness,all,10,1.0,0.0
by law,create subcases completeness,continuation,10,1.0,0.0
enter senddate decision,phase advice known,all,10,1.0,0.0
enter senddate decision,phase advice known,continuation,8,0.8,0.0
terminate on request,phase procedure aborted,all,10,1.0,0.0
terminate on request,phase procedure aborted,continuation,10,1.0,0.0
phase updated plan requested,phase advice known,all,10,1.0,0.0
phase updated plan requested,phase advice known,continuation,10,1.0,0.0
updated plan received,send confirmation receipt,all,10,1.0,0.0
updated plan received,send confirmation receipt,continuation,10,1.0,0.0
phase draft decision ready,start decisionphase draft decision - permitting decided,all,10,1.0,0.0
phase draft decision ready,start decisionphase draft decision - permitting decided,continuation,9,0.9,0.0
set decision status,enter date decision procedure term extension,all,10,1.0,11.676638888888888
set decision status,enter date decision procedure term extension,continuation,1,0.1,17.315
phased application,forward to the competent authority,all,10,1.0,0.0
phased application,forward to the competent authority,continuation,10,1.0,0.0
forward to the competent authority,read field phased application,all,10,1.0,0.0
forward to the competent authority,read field phased application,continuation,10,1.0,0.0
phase draft decision ready,set decision status,all,10,1.0,0.0
phase draft decision ready,set decision status,continuation,10,1.0,0.0
enter senddate acknowledgement,terminate on request,all,10,1.0,1311.7890833333333
phase additional information received,procedure change,all,10,1.0,240.0
phase additional information received,procedure change,continuation,2,0.2,144.0
treat subcases content,enter senddate decision,all,10,1.0,0.0
treat subcases content,enter senddate decision,continuation,7,0.7,0.0
MER present in supplement,receive additional information,all,10,1.0,0.0
MER present in supplement,receive additional information,continuation,10,1.0,0.0
creating decision permanently suspended,start decision phase permanently suspended decided,all,10,1.0,15.55936111111111
creating decision permanently suspended,start decision phase permanently suspended decided,continuation,9,0.9,0.0
enter enddate suspension art. 33 WABO,refusal after suspension,all,10,1.0,102.32352777777777
enter enddate suspension art. 33 WABO,refusal after suspension,continuation,5,0.5,7.847055555555556
set decision status,set decision status,all,10,1.0,0.0
set decision status,set decision status,continuation,10,1.0,0.0
decision keep permanently suspended,set decision status,all,10,1.0,0.0
decision keep permanently suspended,set decision status,continuation,10,1.0,0.0
start WABOprocedure,submit decision,all,10,1.0,244.8
read publication date field,generating decision environmental permit,all,10,1.0,24.0
read publication date field,generating decision environmental permit,continuation,9,0.9,0.0
enter date draft decisionenvironmental permit,enter senddate procedure confirmation,all,10,1.0,246.63883333333334
enter date draft decisionenvironmental permit,enter senddate procedure confirmation,continuation,5,0.5,11.34322222222222
entering senddate draft decision environmental permit,record date of decision environmental permit,all,10,1.0,323.2170277777778
entering senddate draft decision environmental permit,record date of decision environmental permit,continuation,6,0.6,0.04407407407407407
keep permanently suspended,request complete,all,10,1.0,139.2
keep permanently suspended,request complete,continuation,9,0.9,0.0
decision date prior to decision,create subcases content,all,10,1.0,0.0
decision date prior to decision,create subcases content,continuation,10,1.0,0.0
terminate on request,message terminate request,all,10,1.0,0.5381944444444444
terminate on request,message terminate request,continuation,9,0.9,0.007222222222222223
phase draft decision made,enter date draft decisionenvironmental permit,all,10,1.0,18.763416666666664
phase draft decision made,enter date draft decisionenvironmental permit,continuation,6,0.6,3.3788425925925925
receive additional information,phase advice known,all,10,1.0,0.0
receive additional information,phase advice known,continuation,10,1.0,0.0
creating cover letter decision,decision date prior to decision,all,10,1.0,0.0
creating cover letter decision,decision date prior to decision,continuation,7,0.7,0.0
start decision phase permanent suspension sent,set decision status,all,10,1.0,1.0555555555555556
start decision phase permanent suspension sent,set decision status,continuation,8,0.8,1.3194444444444444
treat subcases content,phase application received,all,10,1.0,0.0
treat subcases content,phase application received,continuation,8,0.8,0.0
by law,request complete,all,10,1.0,0.0
by law,request complete,continuation,10,1.0,0.0
decision date prior to decision,extend procedure term,all,10,1.0,52.934444444444445
decision date prior to decision,extend procedure term,continuation,6,0.6,0.0
determine cause for suspension article 34 WABO,assessment of content completed,all,10,1.0,0.0011944444444444446
determine cause for suspension article 34 WABO,assessment of content completed,continuation,10,1.0,0.0011944444444444446
enter senddate retrieve missing data,enter date decision permanent suspension,all,10,1.0,1014.1290000000001
enter senddate retrieve missing data,enter date decision permanent suspension,continuation,2,0.2,0.02291666666666667
set decision phase: draft decision for inspection,set decision phase: draft decision permitted sent,all,10,1.0,2.4
set decision phase: draft decision for inspection,set decision phase: draft decision permitted sent,continuation,9,0.9,0.0
phase decision sent,phase application receptive,all,10,1.0,0.0
phase decision sent,phase application receptive,continuation,8,0.8,0.0
create subcases content,phase application receptive,all,10,1.0,0.0
create subcases content,phase application receptive,continuation,10,1.0,0.0
decision date prior to decision,creating decision permanently suspended,all,10,1.0,0.0
decision date prior to decision,creating decision permanently suspended,continuation,10,1.0,0.0
create cover letter extend procedure term,start decision phase extension granted,all,10,1.0,0.0
create cover letter extend procedure term,start decision phase extension granted,continuation,10,1.0,0.0
enter senddate procedure term extension,copy decision to extend procedure to stakeholders,all,10,1.0,2.5069444444444446
enter senddate procedure term extension,copy decision to extend procedure to stakeholders,continuation,9,0.9,0.0
subcases completeness completed,register objection and appeal periods,all,10,1.0,117.6
enter senddate draft decision,set decision status,all,10,1.0,0.0
enter senddate draft decision,set decision status,continuation,9,0.9,0.0
stop all running subcases 2b,phase procedure aborted,all,10,1.0,0.0
stop all running subcases 2b,phase procedure aborted,continuation,10,1.0,0.0
start decision phase permanent suspension sent,decision keep permanently suspended,all,10,1.0,1.9844444444444445
start decision phase permanent suspension sent,decision keep permanently suspended,continuation,8,0.8,1.1760069444444445
set decision status,received OLO documents,all,10,1.0,0.0
set decision status,received OLO documents,continuation,10,1.0,0.0
phase application received,request complete,all,10,1.0,688.8
enter receipt of additional data,registrer date of publishing received request,all,10,1.0,153.6
enter receipt of additional data,registrer date of publishing received request,continuation,1,0.1,0.0
enter date decision procedure term extension,extend procedure term,all,10,1.0,210.06244444444442
enter date decision procedure term extension,extend procedure term,continuation,2,0.2,47.04958333333334
suspend term,creating environmental permit decision,all,10,1.0,0.0
suspend term,creating environmental permit decision,continuation,10,1.0,0.0
enter senddate retrieve missing data,phase application received,all,10,1.0,164.64366666666666
phase advice known,resume completeness subcases,all,10,1.0,0.0
phase advice known,resume completeness subcases,continuation,10,1.0,0.0
register deadline,stop procedure after permanent suspension,all,10,1.0,13.213444444444445
register deadline,stop procedure after permanent suspension,continuation,9,0.9,0.0
enter date decision permanent suspension,decision keep permanently suspended,all,10,1.0,20.07013888888889
enter date decision permanent suspension,decision keep permanently suspended,continuation,9,0.9,1.2462654320987654
send design decision to stakeholders,date draft decision for inspection,all,10,1.0,150.30450000000002
send design decision to stakeholders,date draft decision for inspection,continuation,1,0.1,156.87666666666667
terminate on request,regular procedure without MER,all,10,1.0,0.0035000000000000005
terminate on request,regular procedure without MER,continuation,10,1.0,0.0035000000000000005
extend procedure term,register date environmental permit decision,all,10,1.0,97.80019444444444
extend procedure term,register date environmental permit decision,continuation,1,0.1,0.0013888888888888887
applicant is stakeholder,activities regular procedure,all,10,1.0,0.003277777777777778
applicant is stakeholder,activities regular procedure,continuation,10,1.0,0.003277777777777778
assessment of content completed,phase concept draft decision ready,all,10,1.0,19.05902777777778
assessment of content completed,phase concept draft decision ready,continuation,9,0.9,0.00018518518518518518
transcript decision environmental permit to stakeholders,objection lodged against decision,all,10,1.0,1776.0011111111112
transcript decision environmental permit to stakeholders,objection lodged against decision,continuation,1,0.1,0.01111111111111111
treat subcases completeness,enter senddate procedure confirmation,all,10,1.0,290.0755833333333
treat subcases completeness,enter senddate procedure confirmation,continuation,3,0.3,6.1479629629629615
enter senddate decision,completed subcases content,all,10,1.0,0.0
enter senddate decision,completed subcases content,continuation,5,0.5,0.0
phase concept draft decision ready,enter date draft decisionenvironmental permit,all,10,1.0,223.3910555555555
phase concept draft decision ready,enter date draft decisionenvironmental permit,continuation,4,0.4,3.7636805555555553
set phase: phase permitting irrevocable,enter date publication decision environmental permit,all,10,1.0,236.6123888888889
grounds for refusal,dismiss under mandate,all,10,1.0,0.0
grounds for refusal,dismiss under mandate,continuation,10,1.0,0.0
copy decision to extend procedure to stakeholders,request complete,all,10,1.0,259.6828611111111
copy decision to extend procedure to stakeholders,request complete,continuation,5,0.5,0.006
enter date advice on treatment of environmental permit,enter date advice on treatment of environmental permit,all,10,1.0,0.0
enter date advice on treatment of environmental permit,enter date advice on treatment of environmental permit,continuation,10,1.0,0.0
enter senddate decision,register objection and appeal periods,all,10,1.0,17.552972222222223
enter senddate decision,register objection and appeal periods,continuation,5,0.5,17.526833333333332
send confirmation receipt,register date environmental permit decision,all,10,1.0,979.3605277777779
close case,start decision phase decision permitting sent,all,10,1.0,1.093
close case,start decision phase decision permitting sent,continuation,10,1.0,1.093
date decision for inspection,OLO messaging active,all,10,1.0,685.5893888888888
set phase: phase permitting irrevocable,mutation BAG carry objects,all,10,1.0,5.555555555555556e-05
set phase: phase permitting irrevocable,mutation BAG carry objects,continuation,10,1.0,5.555555555555556e-05
dismiss under mandate,phase concept draft decision ready,all,10,1.0,0.0
dismiss under mandate,phase concept draft decision ready,continuation,10,1.0,0.0
treat subcases content,create publication document,all,9,1.0,0.0032098765432098763
treat subcases content,create publication document,continuation,9,1.0,0.0032098765432098763
create draft environtmental permit,dismiss under mandate,all,9,1.0,0.0037654320987654316
create draft environtmental permit,dismiss under mandate,continuation,9,1.0,0.0037654320987654316
send procedure confirmation,register submission date request,all,9,1.0,0.0
send procedure confirmation,register submission date request,continuation,9,1.0,0.0
send procedure confirmation,creating environmental permit decision,all,9,1.0,0.0
send procedure confirmation,creating environmental permit decision,continuation,9,1.0,0.0
received OLO documents,register objection and appeal periods,all,9,1.0,266.6666666666667
request complete,create subcases completeness,all,9,1.0,0.0
request complete,create subcases completeness,continuation,9,1.0,0.0
set decision phase: draft decision for inspection,suspension ground applicable,all,9,1.0,1533.3333333333333
create decision procedure term extension,copy decision to extend procedure to stakeholders,all,9,1.0,0.006018518518518518
create decision procedure term extension,copy decision to extend procedure to stakeholders,continuation,9,1.0,0.006018518518518518
phase application received,procedure change,all,9,1.0,1026.6666975308642
phase application received,procedure change,continuation,1,0.1111111111111111,0.0002777777777777778
phase procedure prematurely terminated,enter senddate request termination,all,9,1.0,8.539907407407407
phase procedure prematurely terminated,enter senddate request termination,continuation,4,0.4444444444444444,2.470833333333333
appealed to higher court,contested decision affected,all,9,1.0,0.00021604938271604937
appealed to higher court,contested decision affected,continuation,9,1.0,0.00021604938271604937
generate publication document decision environmental permit,registrer date of publishing received request,all,9,1.0,54.11290123456789
extend procedure term,by law,all,9,1.0,26.3329012345679
extend procedure term,by law,continuation,8,0.8888888888888888,0.009409722222222222
enter date termination request received,enter senddate procedure confirmation,all,9,1.0,93.33333333333333
enter date termination request received,enter senddate procedure confirmation,continuation,4,0.4444444444444444,18.0
send procedure confirmation,retrieve missing data,all,9,1.0,161.0176851851852
send procedure confirmation,retrieve missing data,continuation,6,0.6666666666666666,0.009629629629629629
enter date publication decision environmental permit,generating decision environmental permit,all,9,1.0,541.1694135802469
enter date publication decision environmental permit,generating decision environmental permit,continuation,4,0.4444444444444444,38.61951388888888
regular procedure without MER,WAW permit aspect,all,9,1.0,0.0
regular procedure without MER,WAW permit aspect,continuation,9,1.0,0.0
registrer date of publishing received request,regular procedure without MER,all,9,1.0,155.36796296296293
registrer date of publishing received request,regular procedure without MER,continuation,2,0.2222222222222222,13.003472222222223
phase application receptive,suspend term,all,9,1.0,0.0016975308641975309
phase application receptive,suspend term,continuation,9,1.0,0.0016975308641975309
inform BAG administrator,terminate on request,all,9,1.0,205.45373456790122
inform BAG administrator,terminate on request,continuation,8,0.8888888888888888,0.15611111111111112
assessment of content completed,extend procedure term,all,9,1.0,307.8387654320988
assessment of content completed,extend procedure term,continuation,2,0.2222222222222222,0.0077777777777777776
subcases completeness completed,phase application received,all,9,1.0,0.0
subcases completeness completed,phase application received,continuation,9,1.0,0.0
extend procedure term,MER present in supplement,all,9,1.0,0.002037037037037037
extend procedure term,MER present in supplement,continuation,9,1.0,0.002037037037037037
treat subcases content,article 34  WABO applies,all,9,1.0,109.33354938271606
treat subcases content,article 34  WABO applies,continuation,5,0.5555555555555556,4.800388888888889
objection subcase completed,appeal logded,all,9,1.0,69.90197530864197
objection subcase completed,appeal logded,continuation,8,0.8888888888888888,0.0020833333333333333
assessment of content completed,enter senddate decision,all,9,1.0,79.14814814814815
assessment of content completed,enter senddate decision,continuation,6,0.6666666666666666,0.0
assessment of content completed,phase updated plan requested,all,9,1.0,2.6666666666666665
assessment of content completed,phase updated plan requested,continuation,9,1.0,2.6666666666666665
create monitoring case,phase decision taken,all,9,1.0,0.0
create monitoring case,phase decision taken,continuation,9,1.0,0.0
register submission date request,create publication document,all,9,1.0,45.333333333333336
register submission date request,create publication document,continuation,1,0.1111111111111111,24.0
decision date prior to decision,forward to the competent authority,all,9,1.0,0.0
decision date prior to decision,forward to the competent authority,continuation,9,1.0,0.0
submit decision,enter senddate decision,all,9,1.0,43.29768518518519
submit decision,enter senddate decision,continuation,3,0.3333333333333333,0.0
completed subcases content,ask stakeholders views,all,9,1.0,16.00024691358025
completed subcases content,ask stakeholders views,continuation,9,1.0,16.00024691358025
date decision for inspection,record date of decision environmental permit,all,9,1.0,0.0
date decision for inspection,record date of decision environmental permit,continuation,8,0.8888888888888888,0.0
send design decision to stakeholders,generate draft decision environmental permit,all,9,1.0,0.0
send design decision to stakeholders,generate draft decision environmental permit,continuation,9,1.0,0.0
open draft decision for inspection,perspective on draft decision environmental permit received,all,9,1.0,0.0
open draft decision for inspection,perspective on draft decision environmental permit received,continuation,9,1.0,0.0
creating environmental permit decision,enter senddate draft decision,all,9,1.0,0.0
creating environmental permit decision,enter senddate draft decision,continuation,9,1.0,0.0
create subcases completeness,request complete,all,9,1.0,372.3947222222222
create subcases completeness,request complete,continuation,6,0.6666666666666666,0.0002777777777777778
suspension ground applicable,assessment of content completed,all,9,1.0,0.0
suspension ground applicable,assessment of content completed,continuation,9,1.0,0.0
phase decision sent,set phase: phase permitting irrevocable,all,9,1.0,19.93385802469136
phase decision sent,set phase: phase permitting irrevocable,continuation,2,0.2222222222222222,12.46263888888889
phase archived case,register deadline,all,9,1.0,0.0
phase archived case,register deadline,continuation,9,1.0,0.0
no permit needed or only notification needed,procedure change,all,9,1.0,58.66691358024692
no permit needed or only notification needed,procedure change,continuation,7,0.7777777777777778,0.00031746031746031746
assessment of content completed,send confirmation receipt,all,9,1.0,0.0
assessment of content completed,send confirmation receipt,continuation,8,0.8888888888888888,0.0
phase advice known,enter senddate acknowledgement,all,9,1.0,13.913086419753085
phase advice known,enter senddate acknowledgement,continuation,5,0.5555555555555556,15.041
phase application received,calculate provisional charges,all,9,1.0,181.10885802469136
phase application received,calculate provisional charges,continuation,6,0.6666666666666666,0.0002777777777777778
subcases completeness completed,enter senddate acknowledgement,all,9,1.0,12.083425925925926
decision date prior to decision,treat subcases completeness,all,9,1.0,0.0
decision date prior to decision,treat subcases completeness,continuation,9,1.0,0.0
enter senddate acknowledgement,create publication document,all,9,1.0,510.1313271604938
enter senddate decision environmental permit,stop all running subcases 2b,all,9,1.0,0.0
enter senddate decision environmental permit,stop all running subcases 2b,continuation,9,1.0,0.0
phase permanently suspended,start decision phase permanent suspension sent,all,9,1.0,0.0
phase permanently suspended,start decision phase permanent suspension sent,continuation,8,0.8888888888888888,0.0
registration date publication,receive additional information,all,9,1.0,379.1666666666667
registration date publication,receive additional information,continuation,2,0.2222222222222222,0.01111111111111111
phase application received,inform BAG administrator,all,9,1.0,0.0002777777777777778
phase application received,inform BAG administrator,continuation,9,1.0,0.0002777777777777778
request complete,subcases completeness completed,all,9,1.0,0.0
request complete,subcases completeness completed,continuation,9,1.0,0.0
perspective on draft decision environmental permit received,phase perspective submitted,all,9,1.0,0.0024382716049382715
perspective on draft decision environmental permit received,phase perspective submitted,continuation,9,1.0,0.0024382716049382715
create subcases completeness,phase decision ready,all,9,1.0,0.0
create subcases completeness,phase decision ready,continuation,9,1.0,0.0
final VVGB applications,perspective from GS or VROM received,all,9,1.0,61.335030864197535
final VVGB applications,perspective from GS or VROM received,continuation,8,0.8888888888888888,0.0019097222222222222
objection lodged against decision,enter senddate decision environmental permit,all,9,1.0,3.737623456790123
objection lodged against decision,enter senddate decision environmental permit,continuation,9,1.0,3.737623456790123
register deadline,enter senddate decision permanent suspension,all,9,1.0,0.0
register deadline,enter senddate decision permanent suspension,continuation,9,1.0,0.0
enter senddate letter no permit or only notification required,create letter no permit or only notification required,all,9,1.0,0.0
enter senddate letter no permit or only notification required,create letter no permit or only notification required,continuation,8,0.8888888888888888,0.0
perspective on draft decision environmental permit received,treat subcase perspective,all,9,1.0,48.74969135802469
perspective on draft decision environmental permit received,treat subcase perspective,continuation,8,0.8888888888888888,0.009861111111111112
create draft environtmental permit,entering senddate draft decision environmental permit,all,9,1.0,130.15367283950616
create draft environtmental permit,entering senddate draft decision environmental permit,continuation,2,0.2222222222222222,76.77749999999999
objection lodged against decision,phase objection filed,all,9,1.0,0.0006790123456790123
objection lodged against decision,phase objection filed,continuation,9,1.0,0.0006790123456790123
enter publication date draft decision,generating decision environmental permit,all,9,1.0,0.0
enter publication date draft decision,generating decision environmental permit,continuation,9,1.0,0.0
create subcases present decision,treat subcases present decision,all,9,1.0,0.0016049382716049382
create subcases present decision,treat subcases present decision,continuation,9,1.0,0.0016049382716049382
subcases completed present decision,enrich decision,all,9,1.0,14.813117283950618
subcases completed present decision,enrich decision,continuation,7,0.7777777777777778,0.0045238095238095246
phase application received,treat subcases content,all,9,1.0,0.0
phase application received,treat subcases content,continuation,7,0.7777777777777778,0.0
create publication document,register date environmental permit decision,all,9,1.0,89.35104938271606
create publication document,register date environmental permit decision,continuation,1,0.1111111111111111,14.016388888888889
enter senddate decision environmental permit,phase decision irrevocable,all,9,1.0,0.0
enter senddate decision environmental permit,phase decision irrevocable,continuation,9,1.0,0.0
enter senddate draft decision,record date of decision environmental permit,all,9,1.0,29.4183024691358
enter senddate draft decision,record date of decision environmental permit,continuation,8,0.8888888888888888,1.4127083333333335
register date environmental permit decision,date decision for inspection,all,9,1.0,130.66746913580246
register date environmental permit decision,date decision for inspection,continuation,1,0.1111111111111111,0.007222222222222223
start decisionphase draft decision - permitting decided,enter senddate draft decision,all,9,1.0,2.6666666666666665
start decisionphase draft decision - permitting decided,enter senddate draft decision,continuation,9,1.0,2.6666666666666665
phase concept draft decision ready,treat subcases content,all,9,1.0,0.0
phase concept draft decision ready,treat subcases content,continuation,9,1.0,0.0
phase concept draft decision ready,completed subcases content,all,9,1.0,0.0
phase concept draft decision ready,completed subcases content,continuation,8,0.8888888888888888,0.0
read publication date field,start decision phase decision permitting sent,all,9,1.0,0.0
read publication date field,start decision phase decision permitting sent,continuation,9,1.0,0.0
decision date prior to decision,send letter in progress,all,9,1.0,0.0
decision date prior to decision,send letter in progress,continuation,9,1.0,0.0
send suspension by competent authority,continuation term to decision,all,9,1.0,109.04021604938272
send suspension by competent authority,continuation term to decision,continuation,8,0.8888888888888888,0.016493055555555556
registration date publication,creating environmental permit decision,all,9,1.0,0.0
registration date publication,creating environmental permit decision,continuation,8,0.8888888888888888,0.0
set decision status,decision keep permanently suspended,all,9,1.0,4.6355864197530865
set decision status,decision keep permanently suspended,continuation,8,0.8888888888888888,0.005902777777777778
creating cover letter decision,assessment of content completed,all,9,1.0,0.0
creating cover letter decision,assessment of content completed,continuation,8,0.8888888888888888,0.0
phase decision ready,phase additional information received,all,9,1.0,0.0
phase decision ready,phase additional information received,continuation,9,1.0,0.0
close case,phase procedure aborted,all,9,1.0,0.0
close case,phase procedure aborted,continuation,9,1.0,0.0
decision date prior to decision,decision keep permanently suspended,all,9,1.0,32.16722222222223
decision date prior to decision,decision keep permanently suspended,continuation,8,0.8888888888888888,0.1267361111111111
decision keep permanently suspended,enter senddate decision permanent suspension,all,9,1.0,0.9044135802469135
decision keep permanently suspended,enter senddate decision permanent suspension,continuation,8,0.8888888888888888,0.0
retrieve missing data,send procedure confirmation,all,9,1.0,0.0
retrieve missing data,send procedure confirmation,continuation,7,0.7777777777777778,0.0
creating cover letter decision,register deadline,all,9,1.0,0.0
phase decision irrevocable,phase decision sent,all,9,1.0,0.0
phase decision irrevocable,phase decision sent,continuation,9,1.0,0.0
request complete,assessment of content completed,all,9,1.0,0.0
request complete,assessment of content completed,continuation,9,1.0,0.0
phase draft decision made,set decision phase: draft decision permitted sent,all,9,1.0,4.159012345679013
phase draft decision made,set decision phase: draft decision permitted sent,continuation,7,0.7777777777777778,0.0
retrieve missing data,phase additional information received,all,9,1.0,0.0
retrieve missing data,phase additional information received,continuation,9,1.0,0.0
send confirmation receipt,updated plan received,all,9,1.0,0.0
send confirmation receipt,updated plan received,continuation,9,1.0,0.0
phase application receptive,request updated plan,all,9,1.0,0.0
phase application receptive,request updated plan,continuation,9,1.0,0.0
phase permanently suspended,decision keep permanently suspended,all,9,1.0,0.0
phase permanently suspended,decision keep permanently suspended,continuation,9,1.0,0.0
procedure change,creating environmental permit decision,all,9,1.0,0.0
procedure change,creating environmental permit decision,continuation,9,1.0,0.0
start decisionphase draft decision - permitting decided,date draft decision for inspection,all,9,1.0,136.0
start decisionphase draft decision - permitting decided,date draft decision for inspection,continuation,3,0.3333333333333333,8.0
phase decision ready,send confirmation receipt,all,9,1.0,0.0
phase decision ready,send confirmation receipt,continuation,9,1.0,0.0
creating cover letter decision,phase application receptive,all,9,1.0,0.0
creating cover letter decision,phase application receptive,continuation,7,0.7777777777777778,0.0
create publication document,investigate BAG objects,all,9,1.0,250.37126543209877
create publication document,investigate BAG objects,continuation,5,0.5555555555555556,0.0003888888888888889
stop procedure after permanent suspension,register deadline,all,9,1.0,0.00015432098765432098
stop procedure after permanent suspension,register deadline,continuation,9,1.0,0.00015432098765432098
investigate BAG objects,subcases completeness completed,all,9,1.0,0.0007098765432098766
